timestamp,ridlserver02,ridlserver04,ridlserver05,ridlserver11,ridlserver12,total_watts
2026-03-10T13:27:56.980+00:00,179,164,139,95,160,737
2026-03-10T13:27:57.980+00:00,180,160,140,94,161,735
2026-03-10T13:27:58.980+00:00,179,162,140,96,160,737
2026-03-10T13:27:59.980+00:00,179,157,140,94,160,730
2026-03-10T13:28:01.264+00:00,178,164,139,94,159,734
2026-03-10T13:28:02.264+00:00,179,156,140,95,159,729
2026-03-10T13:28:03.264+00:00,179,162,140,97,160,738
2026-03-10T13:28:04.264+00:00,179,161,140,96,159,735
2026-03-10T13:28:05.264+00:00,178,164,141,96,161,740
2026-03-10T13:28:06.264+00:00,180,163,139,96,158,736
2026-03-10T13:28:07.277+00:00,181,163,138,96,161,739
2026-03-10T13:28:08.277+00:00,174,162,142,97,161,736
2026-03-10T13:28:09.277+00:00,158,161,139,95,160,713
2026-03-10T13:28:10.277+00:00,142,160,138,97,161,698
2026-03-10T13:28:11.277+00:00,142,157,140,96,160,695
2026-03-10T13:28:12.277+00:00,141,158,139,96,160,694
2026-03-10T13:28:13.277+00:00,143,167,141,96,161,708
2026-03-10T13:28:14.277+00:00,141,158,140,95,161,695
2026-03-10T13:28:15.277+00:00,141,157,140,95,159,692
2026-03-10T13:28:16.277+00:00,141,157,140,98,160,696
2026-03-10T13:28:17.277+00:00,141,158,140,94,160,693
2026-03-10T13:28:18.277+00:00,141,158,141,96,159,695
2026-03-10T13:28:19.283+00:00,141,160,139,95,159,694
2026-03-10T13:28:20.283+00:00,142,163,142,97,160,704
2026-03-10T13:28:21.283+00:00,141,157,140,97,161,696
2026-03-10T13:28:22.283+00:00,141,161,141,97,161,701
2026-03-10T13:28:23.283+00:00,141,157,139,97,160,694
2026-03-10T13:28:24.283+00:00,141,158,140,97,159,695
2026-03-10T13:28:25.283+00:00,141,158,139,96,160,694
2026-03-10T13:28:26.283+00:00,142,161,139,94,160,696
2026-03-10T13:28:27.283+00:00,142,161,139,97,160,699
2026-03-10T13:28:28.283+00:00,141,155,139,95,161,691
2026-03-10T13:28:29.283+00:00,141,158,139,96,160,694
2026-03-10T13:28:30.283+00:00,140,164,139,96,159,698
2026-03-10T13:28:31.283+00:00,140,161,140,96,160,697
2026-03-10T13:28:32.283+00:00,141,157,140,97,159,694
2026-03-10T13:28:33.283+00:00,141,163,140,96,159,699
2026-03-10T13:28:34.283+00:00,140,160,140,95,160,695
2026-03-10T13:28:35.283+00:00,140,159,139,96,159,693
2026-03-10T13:28:36.283+00:00,143,160,139,96,159,697
2026-03-10T13:28:37.607+00:00,141,162,140,96,160,699
2026-03-10T13:28:38.943+00:00,142,158,140,96,160,696
2026-03-10T13:28:39.943+00:00,141,158,139,96,159,693
2026-03-10T13:28:40.943+00:00,140,159,140,96,160,695
2026-03-10T13:28:41.943+00:00,140,161,138,95,158,692
2026-03-10T13:28:42.943+00:00,141,159,140,95,161,696
2026-03-10T13:28:43.943+00:00,142,159,139,97,160,697
2026-03-10T13:28:45.061+00:00,142,161,139,97,160,699
2026-03-10T13:28:46.061+00:00,140,165,140,95,159,699
2026-03-10T13:28:47.061+00:00,140,158,140,95,160,693
2026-03-10T13:28:48.061+00:00,142,158,140,96,161,697
2026-03-10T13:28:49.061+00:00,141,158,139,96,159,693
2026-03-10T13:28:50.061+00:00,141,159,140,95,160,695
2026-03-10T13:28:51.061+00:00,142,163,140,100,160,705
2026-03-10T13:28:52.061+00:00,141,162,140,97,159,699
2026-03-10T13:28:53.061+00:00,140,162,139,98,159,698
2026-03-10T13:28:54.061+00:00,141,156,139,96,159,691
2026-03-10T13:28:55.373+00:00,141,157,141,96,160,695
2026-03-10T13:28:56.373+00:00,142,161,140,96,160,699
2026-03-10T13:28:57.454+00:00,141,164,140,96,160,701
2026-03-10T13:28:58.454+00:00,141,161,140,97,159,698
2026-03-10T13:28:59.454+00:00,140,163,139,95,161,698
2026-03-10T13:29:00.454+00:00,142,159,139,95,160,695
2026-03-10T13:29:01.569+00:00,141,159,138,95,160,693
2026-03-10T13:29:02.569+00:00,142,163,138,93,160,696
2026-03-10T13:29:03.569+00:00,142,163,139,96,160,700
2026-03-10T13:29:04.569+00:00,140,160,138,95,160,693
2026-03-10T13:29:05.569+00:00,141,155,140,94,158,688
2026-03-10T13:29:06.569+00:00,141,162,141,96,160,700
2026-03-10T13:29:07.569+00:00,141,166,138,96,158,699
2026-03-10T13:29:08.569+00:00,140,160,139,97,160,696
2026-03-10T13:29:09.569+00:00,141,162,141,97,160,701
2026-03-10T13:29:10.569+00:00,140,155,139,95,159,688
2026-03-10T13:29:11.569+00:00,140,159,140,97,160,696
2026-03-10T13:29:12.569+00:00,140,159,140,95,160,694
2026-03-10T13:29:13.569+00:00,141,159,139,96,158,693
2026-03-10T13:29:14.569+00:00,141,159,139,95,159,693
2026-03-10T13:29:15.569+00:00,140,156,139,94,161,690
